source,target,type,unit,data-source,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100
Coal,Residential,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.02,1271.55,1261.27,1158.68,1079.21,965.66,858.26,867.43,838.91,653.73,663.5,573.32,585.28,533.61,520.79,438.44,378.72,351.66,348.79,298.82,264.33,248.11,209.38,171.99,115.78,93.91,82.13,62.84,58.89,57.46,49.15,37.31,30.54,30.02,31.79,30.79,39.63,38.76,40.47,37.22,36.97,30.63,31.11,25.36,25.59,25.75,20.85,17.45,16.58,15.99,11.55,13.98,11.36,11.97,12.25,12.25,11.43,8.44,6.41,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,Residential,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.02,1027.28,1240.31,1526.34,1678.74,1744.5,1960.55,2198.29,2409.03,2587.78,2809.25,3014.54,3211.78,3362.28,3600.31,3700.28,3908.49,4027.69,4274.82,4451.33,4588.32,4874.86,4987.39,5125.81,5264.38,4976.98,4901,5022.61,5147.34,4913.09,4981.45,5054.74,4824.84,4614.2,4711.25,4477.63,4660.56,4534.28,4405.16,4419.58,4735.08,4898.64,4490.91,4667.22,4804.58,5063.3,4959.84,4954.19,5354.39,5092.92,4646.09,4834.9,5104.59,4889.02,4994.99,5209.43,4980.83,4946.35,4475.91,4835.44,5010.06,4883.11,4878.11,4804.58,4241.53,5053.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,Residential,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.02,1106.41,1322.23,1461.25,1501.09,1510.41,1643.76,1767.02,1852.74,1800.58,1964.18,1953.52,2227.14,2292.86,2398.52,2414.12,2325.49,2431.92,2421.8,2527.24,2654.59,2704.78,2724.86,2747.78,2867.44,2800.33,2553.84,2478.77,2703.28,2681.28,2607.5,2098.78,1734.03,1531.07,1433.55,1353.41,1530.71,1565.18,1540.57,1616.58,1674.73,1660.25,1394.18,1380.85,1414.08,1438.99,1408.4,1373.86,1483.52,1422.12,1304.11,1464.9,1554.26,1529.09,1456.92,1546.82,1520.29,1450.84,1223.96,1253.65,1329.63,1161.37,1125.32,1052.02,895.88,784.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Residential,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.43,55.6,57.43,59.54,61.29,63.08,64.22,65.03,64.37,63.93,62.87,60.55,58.66,57.36,56.54,56.92,57.94,63.41,69.61,80.25,89.07,114.08,153.43,186.18,218.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,Residential,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.02,1055.19,1005.53,958.21,899.16,831.95,799.75,775.07,738.71,701.81,688.45,646.93,626.63,586.86,560.08,536.97,499.06,468.15,454.97,433.97,425.51,415.05,400.78,381.87,379.78,354.1,370.95,425.41,481.63,541.78,621.85,728.08,850,870,970,970,980,1010,920,850,910,920,580,610,640,550,520,520,540,430,380,390,420,370,380,400,410,430,380,420,470,500,440,450,420,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,Commercial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.03,1554.12,1541.55,1306.6,1169.14,965.66,824.6,800.71,714.63,534.87,500.53,415.16,406.72,370.82,361.91,317.49,274.25,265.29,263.12,225.43,207.69,194.94,164.51,179.01,153.48,159.9,174.52,146.63,144.17,147.76,164.53,149.25,114.9,136.76,155.22,161.62,168.94,137.41,135.48,124.6,131.09,115.23,124.46,115.51,116.57,117.3,118.12,116.79,121.61,129.39,93.44,102.52,91.9,96.86,89.82,81.96,102.9,97,64.79,70.04,80.76,73.35,69.65,61.72,43.55,41.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,Commercial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.03,359.99,401.41,480.56,533.72,549.22,605.43,651.24,741.96,803.07,902.29,1009.24,1055.93,1114.54,1248.9,1307.08,1418.71,1489.85,1676.29,2021.66,2140.08,2323.06,2472.86,2586.76,2678.4,2648.98,2616.95,2558.46,2718.43,2548.31,2642.72,2836.11,2650.87,2557.34,2649.51,2486.43,2582.48,2487.74,2367.34,2489.05,2730.88,2784.81,2682.2,2795.4,2871.19,2923.26,2961.98,3095.99,3226.32,3285.32,3082.98,3115.03,3251.53,3097.26,3212.46,3260.92,3200.97,3073.22,2901.69,3085.05,3228.43,3186.59,3164.68,3216.1,2959.95,3365.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,Commercial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.03,734.77,872.06,932.33,952.94,981.75,1012.38,1094.6,1136.25,1098.02,1141.3,1212.69,1248.05,1268.49,1302.43,1286.44,1274.79,1412.91,1460.91,1512.29,1543.55,1559.42,1591.76,1550.8,1572.9,1607.21,1460.6,1346.03,1499.78,1551.8,1489.85,1366.67,1318.21,1121.88,1037.16,1169.97,1227.02,1082.63,1162.46,1130.92,1099.39,1040.77,990.97,934.68,893.43,818.59,824.78,769.3,790.04,742.51,701.57,707.17,806.91,789.59,725.52,842.03,809.48,761.43,662.54,649.42,664.17,663.06,651.36,640.87,570.67,468.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Commercial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,1.43,1.37,1.27,1.03,0.96,1.22,1.3,1.23,1.23,1.17,1.02,0.69,0.13,0.73,1.05,0.86,0.93,0.76,0.59,0.69,0.79,0.25,0.26,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Commercial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.8,3,3.2,3.4,4.2,4.5,5.3,5.7,7.1,6.7,7.6,8.27,8.75,11,12,13.6,14,14.4,14.8,16.7,18.5,19.7,19.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
